,id,poiDesc,loaihinh,tenhieutruong,poiAddr,correctedCoords,sdt,email,website,anh,poiLat,poiLong,dLoc,geometry
0,181,Trường THPT Thuận Hóa,Trường THPT,PGS. TS. Nguyễn Văn Thuận,"An Tây, TP Huế","16.467421462785286, 107.59197563631398",2343600496,thpt.thoa@hue.edu.vn,http://thpt-thoa.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thuan_hoa.jpg,16.467421462785286,107.59197563631398,3767.093753847993,POINT (107.59197563631398 16.467421462785286)
1,149,Trường THPT Chi Lăng,Trường THPT,Văn Thị Yến Phương,"Phú Cát, TP Huế","16.450318259365957, 107.61410483694976",2343611160,chilanghighschool@gmail.com,http://thptchilang.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/chi_lang.png,16.450318259365957,107.61410483694976,3876.864636973327,POINT (107.61410483694976 16.450318259365957)
2,152,Trường THPT DTNT tỉnh,Trường THPT,Trần Quang Đức,"3 Huyền Trân Công Chúa, Phường Đúc, Thành phố Huế, Thừa Thiên Huế","16.450119423294254, 107.55748844761526",2343.88166,thpt.dtntt@hue.edu.vn,http://thpt-dtnttinh.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dtnt.jpg,16.450119423294254,107.55748844761526,113.45425551841325,POINT (107.55748844761526 16.450119423294254)
3,153,Trường THPT Nguyễn Trường Tộ,Trường THPT,Nguyễn Hướng,"3 Nguyễn Tri Phương, Phú Hội, Thành phố Huế, Thừa Thiên Huế","16.464853217332692, 107.59165690496195",2343382424,thpt.ntt@hue.edu.vn,http://thpt-ntto.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_truong_to.png,16.464853217332692,107.59165690496195,39.046234315841865,POINT (107.59165690496195 16.464853217332692)
4,155,Trường THPT Đặng Trần Côn,Trường THPT,Lê Vinh,"01 Đặng Trần Côn, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế","16.463928425393135, 107.57368663385265",2343522195,thpt.dtc@thuathienhue.edu.vn,http://thpt-dtcon.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dtcon.jpg,16.463928425393135,107.57368663385265,3.572962656313197,POINT (107.57368663385265 16.463928425393135)
5,156,Trường THPT Gia Hội,Trường THPT,Phùng Đăng Khánh,"104 Nguyễn Chí Thanh, Phú Hiệp, Thành phố Huế, Thừa Thiên Huế","16.483934874206064, 107.58685812528192",983150396,khanhpdtvk@gmail.com,http://thpt-ghoi.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/gia_hoi.png,16.483934874206064,107.58685812528192,82.07639872486423,POINT (107.58685812528192 16.483934874206064)
6,157,Trường THPT Cao Thắng,Trường THPT,Ngô Đắc Dũng,"11 Đống Đa, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế","16.461479456599275, 107.59251498978836",2343824112,thpt.ct@hue.edu.vn,http://thpt-cthang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cao_thang.png,16.461479456599275,107.59251498978836,42.61441227099488,POINT (107.59251498978836 16.461479456599275)
7,158,Trường THPT Nguyễn Huệ,Trường THPT,Hoàng Thị Kiều Dung,"83 Đinh Tiên Hoàng, Thuận Thành, Thành phố Huế, Thừa Thiên Huế","16.475794739904384, 107.57890095769206",2343534307,nguyenhue@.gmail.com,http://thpt-nhue.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_hue.png,16.475794739904384,107.57890095769206,0.13067179553683347,POINT (107.57890095769206 16.475794739904384)
8,159,Trường THPT Bùi Thị Xuân,Trường THPT,Phạm Thị Ngọc Tâm,"36 Lê Huân, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế","16.472237050344056, 107.57178198714799",2343530869,thpt.btx@hue.edu.vn,http://thpt-btxuan.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/btxuan.jpg,16.472237050344056,107.57178198714799,68.11647848636721,POINT (107.57178198714799 16.472237050344056)
9,160,Trường THPT Hai Bà Trưng,Trường THPT,Ngô Đức Thức,"14 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế","16.460802840270382, 107.5846261992442",2343823087,truong@thpt-haibatrung-tthue.e,http://thpt-hbtrung.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hai_ba_trung.png,16.460802840270382,107.5846261992442,48.44669678959217,POINT (107.5846261992442 16.460802840270382)
10,161,Trường THPT Quốc Học,Trường THPT,Nguyễn Phước Bửu Tuấn,"12 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế","16.460042628547253, 107.58335766766359",914019173,thptquochoc@gmail.com,http://thpt-qhoc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/quoc_hoc(1).png,16.460042628547253,107.58335766766359,74.44709253531839,POINT (107.58335766766359 16.460042628547253)
11,751,"Khoa Du lịch, ĐH Huế",Đại học,PGS. TS. TRẦN HỮU TUẤN,22 - Lâm Hoằng - TP. Huế,"16.478472231640595, 107.60010984602961",0234.3897744,hat@hueuni.edu.vn,http://hat.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/kdlich.jpg,16.478472231640595,107.60010984602961,233.73756487539956,POINT (107.60010984602961 16.478472231640595)
12,742,Trường Đại học Sư phạm Huế,Đại học,PGS.TS. Lê Anh Phương,"34 Lê Lợi - Thành phố Huế, tỉnh Thừa Thiên Huế.","16.467436616941157, 107.59199443606111",(0234) 38222132,admin@dhsphue.edu.vn,http://dhsphue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/su_pham.jpg,16.467436616941157,107.59199443606111,236.17014047349642,POINT (107.59199443606111 16.467436616941157)
13,749,Trường Đại học Ngoại ngữ,Đại học,PGS.TS. Phạm Thị Hồng Nhung,"57 Nguyễn Khoa Chiêm, phường An Cựu, TP Huế","16.442685434948576, 107.59920228648201",0234.3830677,hucfl@hueuni.vn,http://hucfl.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhnngu.jpg,16.442685434948576,107.59920228648201,4915.605404098917,POINT (107.59920228648201 16.442685434948576)
14,750,Trường Đại học Luật,Đại học,PGS.TS. Đoàn Đức Lương,"KQH Đại học Huế, Đường Võ Văn Kiệt, phường An Tây, TP Huế","16.437162279446355, 107.60989091136788",0234.3946997,law@hul.edu.vn,Website: hul.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhluat.jpg,16.437162279446355,107.60989091136788,695.9858952490081,POINT (107.60989091136788 16.437162279446355)
15,752,"Khoa Giáo dục thể chất, ĐH Huế",Đại học,TS. Nguyễn Gắng,"52 Hồ Đắc Di, phường An Cựu, thành phố Huế, tỉnh Thừa Thiên Huế","16.44409548033699, 107.60214336785067",(0234) 3816 058,khoagiaoducthechat.dhh@hueuni.edu.vn,fpe.hueuni.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/ktchat.jpg,16.44409548033699,107.60214336785067,235.585662124489,POINT (107.60214336785067 16.44409548033699)
16,753,Khoa Quốc tế - ĐH Huế,Đại học,PGS.TS Nguyễn Hoàng Khánh Linh,"01 Điện Biên Phủ, Vĩnh Ninh, Tp. Huế","16.458849063572668, 107.5811895733068",02343 848561,huis@hueuni.edu.vn,http://huis.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/kqte.jpg,16.458849063572668,107.5811895733068,230.0359353574321,POINT (107.5811895733068 16.458849063572668)
